,Alborz,Ardebil,Bushehr,Chahar Mahall and Bakhtiari,East Azarbaijan,Esfahan,Fars,Gilan,Golestan,Hamadan,Hormozgan,Ilam,Kerman,Kermanshah,Khuzestan,Kohgiluyeh and Buyer Ahmad,Kordestan,Lorestan,Markazi,Mazandaran,North Khorasan,Qazvin,Qom,Razavi Khorasan,Semnan,Sistan and Baluchestan,South Khorasan,Tehran,West Azarbaijan,Yazd,Zanjan
North Khorasan,536.6444407,852.9890307,1130.894759,1050.092357,993.0877422,759.8691103,981.5096269,732.7785757,250.6328622,887.0744143,1065.038699,3041.556061,11812.92314,1029.4836,1030.92474,962.8206457,1212.502752,967.2630188,790.7921503,544.8878458,0,711.9803951,695.2031291,219.3942054,443.6127487,1046.141075,966.8217998,607.5351301,1139.030268,675.4836965,837.8217092
Qazvin,192.6240518,266.1611166,818.812828,925.4809694,347.0998401,423.6306134,830.4873091,102.1026509,463.5570019,212.8234248,1121.263095,3719.630583,11856.86591,343.8869196,532.1014903,611.4885026,509.8631213,344.3352009,195.2016739,169.8260244,711.9803951,0,197.853441,818.7727713,314.7896281,1361.027866,255.0344485,140.9099557,472.3645541,631.5777436,141.2223554
Qom,183.739733,462.1131114,633.5442984,727.7229224,523.267779,226.1299177,632.7347789,299.6930565,472.8867212,216.7958168,927.2086424,3627.327385,12047.50278,350.9502223,384.359788,424.7779886,625.4953116,272.0628739,100.6466845,207.3308149,695.2031291,197.853441,0,748.8695458,251.6858057,1189.414838,349.4448683,125.0253013,628.5448619,446.2090622,310.9491212
Razavi Khorasan,627.803456,1003.998452,1058.341095,930.3473995,1134.926649,747.0900585,876.0090202,862.5624826,402.8497945,960.180748,897.2962458,2901.318191,12009.6325,1099.015894,1026.67979,919.7451426,1328.635434,1012.493084,849.4315899,649.916532,219.3942054,818.7727713,748.8695458,0,511.1605941,832.6054352,1065.211452,692.1316448,1276.355029,587.5044471,955.878879
Semnan,122.877885,541.5975578,775.5225707,786.0555995,652.5388965,357.2022768,697.086614,378.7663131,234.2977272,452.2065901,915.5048309,3408.101136,11970.20183,593.3440261,604.0626341,578.7878027,821.8315248,523.7308908,348.7041771,157.1973421,443.6127487,314.7896281,251.6858057,511.1605941,0,1084.741749,554.5822804,181.4104711,785.1517309,419.7087795,455.5878989
Sistan and Baluchestan,1195.043569,1617.12427,980.3325592,713.5113654,1706.594755,1017.276328,754.1522101,1447.896478,1140.780623,1382.244039,444.0408896,2675.474453,12824.62836,1477.258917,1202.775151,1010.184248,1801.913632,1343.127106,1266.415594,1236.60591,1046.141075,1361.027866,1189.414838,832.6054352,1084.741749,0,1531.003229,1223.109133,1817.958046,749.4164634,1494.519622
South Khorasan,438.3570056,296.2995772,823.9964827,996.0975899,250.0230661,522.9911857,904.4621489,266.0115166,718.5784306,152.3490272,1233.547156,3961.853806,11878.53314,155.1077302,488.4816822,638.4132631,276.0915322,257.5640714,264.6003355,422.7754131,966.8217998,255.0344485,349.4448683,1065.211452,554.5822804,1531.003229,0,373.2147429,301.4535947,782.0008728,154.6885817
Tehran,71.39625316,395.7822222,751.1757787,823.4368737,487.5987104,331.3771471,729.1472873,225.7785745,370.0487044,279.6098001,999.9601922,3589.368478,11938.59955,422.0331202,508.9311552,542.8645557,641.2609947,374.4273871,194.6563905,83.22614873,607.5351301,140.9099557,125.0253013,692.1316448,181.4104711,1223.109133,373.2147429,0,612.7239747,503.5582308,281.3070603
West Azarbaijan,662.2746496,293.2883306,1116.95145,1297.289912,147.1868549,821.1386807,1205.865844,413.8271005,890.6335054,452.9083866,1533.850864,4174.916754,11618.20827,421.919921,777.1540452,937.7009671,158.6683258,550.2719407,557.5097979,631.7800112,1139.030268,472.3645541,628.5448619,1276.355029,785.1517309,1817.958046,301.4535947,612.7239747,0,1072.554129,331.4171936
Yazd,497.0299228,896.5066064,470.857988,383.9342381,969.1737399,272.1314022,307.3552607,727.176821,592.6235124,632.8285045,499.8061562,3290.689897,12386.50171,731.9360592,509.1270128,353.4856342,1052.54355,602.0713166,517.6024024,541.2809279,675.4836965,631.5777436,446.2090622,587.5044471,419.7087795,749.4164634,782.0008728,503.5582308,1072.554129,0,756.4940217
Zanjan,332.9669354,175.8316949,886.3119285,1023.169615,212.7861766,525.3242427,928.7223596,113.6715252,587.2910723,208.2637644,1236.282384,3857.196842,11792.74426,291.6712038,569.7795485,685.8299339,375.3174301,349.1367883,264.7455929,306.1460052,837.8217092,141.2223554,310.9491212,955.878879,455.5878989,1494.519622,154.6885817,281.3070603,331.4171936,756.4940217,0
